M-D,M,D,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
12-02,12,2,0.0,0.06600003564,0.053300028782,0.08380004525200001,0.048300026082,0.076200041148,0.073700039798,0.111800060372,0.137200074088,0.07110003839399999,0.050800027432,0.116800063072,0.043200023328,0.068600037044,0.050800027432,0.0,0.0452400244296,0.050800027432,0.07010670452426666,0.068600037044,0.08000004320000001,0.114800061992,0.137200074088,2023-12-02
12-03,12,3,0.0,0.08130004390199999,0.06350003429000001,0.08380004525200001,0.058400031536,0.076200041148,0.073700039798,0.111800060372,0.137200074088,0.07110003839399999,0.050800027432,0.12450006723,0.055900030186,0.068600037044,0.050800027432,0.0,0.050800027432,0.057150030861,0.07384003987360001,0.07110003839399999,0.08255004457699999,0.1194200644868,0.137200074088,2023-12-03
12-04,12,4,0.0,0.086400046656,0.068600037044,0.08380004525200001,0.058400031536,0.076200041148,0.08130004390199999,0.114300061722,0.137200074088,0.07110003839399999,0.050800027432,0.13210007133399998,0.078700042498,0.068600037044,0.050800027432,0.0,0.050800027432,0.06350003429000001,0.07722004169880001,0.076200041148,0.085100045954,0.12498006748919999,0.137200074088,2023-12-04
12-05,12,5,0.0,0.086400046656,0.073700039798,0.08380004525200001,0.058400031536,0.08130004390199999,0.08130004390199999,0.114300061722,0.137200074088,0.07110003839399999,0.050800027432,0.13210007133399998,0.086400046656,0.068600037044,0.058400031536,0.0,0.053840029073600006,0.06350003429000001,0.07892004261680001,0.08130004390199999,0.086400046656,0.12498006748919999,0.137200074088,2023-12-05
12-06,12,6,0.0,0.086400046656,0.073700039798,0.08380004525200001,0.058400031536,0.086400046656,0.08130004390199999,0.114300061722,0.137200074088,0.07110003839399999,0.050800027432,0.14220007678799998,0.086400046656,0.068600037044,0.07110003839399999,0.0,0.053840029073600006,0.069850037719,0.0807800436212,0.08130004390199999,0.086400046656,0.1280400691416,0.14220007678799998,2023-12-06
12-07,12,7,0.0,0.086400046656,0.073700039798,0.08380004525200001,0.058400031536,0.09140004935599999,0.08130004390199999,0.114300061722,0.137200074088,0.07110003839399999,0.050800027432,0.14220007678799998,0.086400046656,0.068600037044,0.086400046656,0.0,0.053840029073600006,0.069850037719,0.08213337768533333,0.08380004525200001,0.08890004800599999,0.1280400691416,0.14220007678799998,2023-12-07
12-08,12,8,0.0,0.086400046656,0.076200041148,0.08380004525200001,0.06350003429000001,0.09140004935599999,0.08130004390199999,0.114300061722,0.137200074088,0.073700039798,0.050800027432,0.14220007678799998,0.09400005076,0.07110003839399999,0.086400046656,0.0,0.055880030175200004,0.07240003909599999,0.08348671174946666,0.08380004525200001,0.092700050058,0.1280400691416,0.14220007678799998,2023-12-08
12-09,12,9,0.0,0.09650005211,0.076200041148,0.08380004525200001,0.06350003429000001,0.09650005211,0.08130004390199999,0.111800060372,0.147300079542,0.073700039798,0.050800027432,0.14480007819200003,0.109200058968,0.07110003839399999,0.086400046656,0.0,0.055880030175200004,0.07240003909599999,0.08619337987773332,0.08380004525200001,0.10285005553900001,0.131600071064,0.147300079542,2023-12-09
12-10,12,10,0.0,0.09650005211,0.076200041148,0.08380004525200001,0.06600003564,0.101600054864,0.08130004390199999,0.111800060372,0.147300079542,0.073700039798,0.06350003429000001,0.14480007819200003,0.109200058968,0.073700039798,0.086400046656,0.0,0.06450003483,0.073700039798,0.0877200473688,0.08380004525200001,0.105400056916,0.131600071064,0.147300079542,2023-12-10
12-11,12,11,0.0,0.104100056214,0.076200041148,0.08380004525200001,0.073700039798,0.116800063072,0.08130004390199999,0.111800060372,0.147300079542,0.073700039798,0.07110003839399999,0.14480007819200003,0.109200058968,0.073700039798,0.086400046656,0.0,0.07214003895559999,0.073700039798,0.09026004874039999,0.08380004525200001,0.11050005967000001,0.133600072144,0.147300079542,2023-12-11
12-12,12,12,0.0,0.104100056214,0.076200041148,0.08380004525200001,0.073700039798,0.12190006582599998,0.08130004390199999,0.111800060372,0.147300079542,0.073700039798,0.07110003839399999,0.149900080946,0.109200058968,0.073700039798,0.086400046656,0.0,0.07214003895559999,0.073700039798,0.0909400491076,0.08380004525200001,0.11050005967000001,0.13714007405559997,0.149900080946,2023-12-12
12-13,12,13,0.0,0.104100056214,0.076200041148,0.08380004525200001,0.073700039798,0.12190006582599998,0.08130004390199999,0.11940006447600002,0.16760009050400002,0.08130004390199999,0.07110003839399999,0.154900083646,0.106700057618,0.073700039798,0.086400046656,0.0,0.07214003895559999,0.074950040473,0.09347338380893334,0.08380004525200001,0.11305006104700001,0.14170007651799998,0.16760009050400002,2023-12-13
12-14,12,14,0.0,0.109200058968,0.076200041148,0.088900048006,0.073700039798,0.12190006582599998,0.088900048006,0.11940006447600002,0.177800096012,0.086400046656,0.07110003839399999,0.154900083646,0.106700057618,0.076200041148,0.086400046656,0.0,0.07214003895559999,0.076200041148,0.09584671842386666,0.088900048006,0.11430006172200001,0.14170007651799998,0.177800096012,2023-12-14
12-15,12,15,0.0,0.111800060372,0.078700042498,0.088900048006,0.078700042498,0.12950006993,0.088900048006,0.11940006447600002,0.19300010422,0.086400046656,0.08380004525200001,0.154900083646,0.104100056214,0.08130004390199999,0.086400046656,0.0,0.078700042498,0.08255004457699999,0.09905338682213333,0.088900048006,0.115600062424,0.1447400781596,0.19300010422,2023-12-15
12-16,12,16,0.0,0.114300061722,0.078700042498,0.088900048006,0.078700042498,0.12950006993,0.088900048006,0.11940006447600002,0.19300010422,0.086400046656,0.08380004525200001,0.1600000864,0.104100056214,0.08130004390199999,0.086400046656,0.0,0.078700042498,0.08255004457699999,0.09956005376239999,0.088900048006,0.116850063099,0.14780007981199997,0.19300010422,2023-12-16
12-17,12,17,0.0,0.116800063072,0.078700042498,0.088900048006,0.08130004390199999,0.147300079542,0.09400005076,0.11940006447600002,0.19300010422,0.086400046656,0.088900048006,0.1600000864,0.104100056214,0.08380004525200001,0.09140004935599999,0.0,0.0797400430596,0.085100045954,0.10226672189066667,0.09140004935599999,0.11810006377400001,0.1549200836568,0.19300010422,2023-12-17
