M-D,M,D,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
11-20,11,20,0.068600037044,0.020300010961999997,0.040600021923999995,0.017800009611999998,0.020300010961999997,0.06600003564,0.005100002754000001,0.040600021923999995,0.0,0.0,0.03300001782,0.010200005508000001,0.078700042498,0.020300010961999997,0.048300026082,0.015200008207999998,0.0,0.0025500013770000003,0.013950007532999999,0.03031251636875,0.020300010961999997,0.0425250229635,0.06730003634199999,0.078700042498,2023-11-20
11-21,11,21,0.068600037044,0.017800009611999998,0.038100020574,0.017800009611999998,0.020300010961999997,0.068600037044,0.005100002754000001,0.040600021923999995,0.0,0.0,0.03300001782,0.010200005508000001,0.078700042498,0.017800009611999998,0.053300028782,0.015200008207999998,0.0,0.0025500013770000003,0.013950007532999999,0.030318766372125,0.019050010287,0.0437750236385,0.068600037044,0.078700042498,2023-11-21
11-22,11,22,0.068600037044,0.020300010961999997,0.038100020574,0.027900015065999997,0.020300010961999997,0.068600037044,0.012700006858,0.040600021923999995,0.00250000135,0.0,0.03300001782,0.010200005508000001,0.078700042498,0.017800009611999998,0.053300028782,0.015200008207999998,0.0,0.006350003429,0.0145750078705,0.03173751713825,0.024100013014,0.0437750236385,0.068600037044,0.078700042498,2023-11-22
11-23,11,23,0.068600037044,0.020300010961999997,0.035600019223999996,0.027900015065999997,0.03300001782,0.068600037044,0.015200008207999998,0.040600021923999995,0.010200005508000001,0.0,0.03300001782,0.010200005508000001,0.078700042498,0.015200008207999998,0.055900030186,0.015200008207999998,0.0,0.010200005508000001,0.015200008207999998,0.03301251782675,0.030450016442999998,0.0444250239895,0.068600037044,0.078700042498,2023-11-23
11-24,11,24,0.068600037044,0.020300010961999997,0.035600019223999996,0.027900015065999997,0.038100020574,0.068600037044,0.022900012366000002,0.038100020574,0.015200008207999998,0.0,0.03300001782,0.010200005508000001,0.088900048006,0.015200008207999998,0.055900030186,0.015200008207999998,0.0,0.012700006858,0.015200008207999998,0.034606268687375,0.030450016442999998,0.042550022977,0.068600037044,0.088900048006,2023-11-24
11-25,11,25,0.073700039798,0.017800009611999998,0.035600019223999996,0.027900015065999997,0.038100020574,0.07110003839399999,0.022900012366000002,0.038100020574,0.03300001782,0.0,0.03050001647,0.010200005508000001,0.088900048006,0.015200008207999998,0.058400031536,0.015200008207999998,0.0,0.012700006858,0.017150009260999997,0.036037519460249995,0.031750017145,0.0431750233145,0.07240003909599999,0.088900048006,2023-11-25
11-26,11,26,0.073700039798,0.017800009611999998,0.035600019223999996,0.027900015065999997,0.040600021923999995,0.078700042498,0.027900015065999997,0.038100020574,0.03300001782,0.007600004103999999,0.03050001647,0.010200005508000001,0.088900048006,0.017800009611999998,0.06100003294,0.015200008207999998,0.007600004103999999,0.012700006858,0.017800009611999998,0.037781270401875,0.031750017145,0.045700024677999995,0.076200041148,0.088900048006,2023-11-26
11-27,11,27,0.073700039798,0.017800009611999998,0.035600019223999996,0.027900015065999997,0.040600021923999995,0.08380004525200001,0.035600019223999996,0.038100020574,0.03300001782,0.007600004103999999,0.03050001647,0.010200005508000001,0.088900048006,0.017800009611999998,0.07110003839399999,0.015200008207999998,0.007600004103999999,0.012700006858,0.017800009611999998,0.03921252117475,0.034300018522,0.048225026041499995,0.07875004252500001,0.088900048006,2023-11-27
11-28,11,28,0.078700042498,0.017800009611999998,0.035600019223999996,0.027900015065999997,0.040600021923999995,0.08380004525200001,0.040600021923999995,0.040600021923999995,0.03300001782,0.010200005508000001,0.03050001647,0.010200005508000001,0.088900048006,0.020300010961999997,0.07110003839399999,0.015200008207999998,0.010200005508000001,0.012700006858,0.019675010624499997,0.04031252176875,0.034300018522,0.048225026041499995,0.08125004387500001,0.088900048006,2023-11-28
11-29,11,29,0.104100056214,0.020300010961999997,0.035600019223999996,0.027900015065999997,0.040600021923999995,0.08380004525200001,0.045700024677999995,0.040600021923999995,0.038100020574,0.020300010961999997,0.03050001647,0.010200005508000001,0.09650005211,0.020300010961999997,0.07110003839399999,0.015200008207999998,0.010200005508000001,0.017750009584999997,0.020300010961999997,0.043800023651999996,0.036850019899,0.05205002810699999,0.090150048681,0.104100056214,2023-11-29
11-30,11,30,0.12450006723,0.020300010961999997,0.035600019223999996,0.027900015065999997,0.040600021923999995,0.08380004525200001,0.045700024677999995,0.040600021923999995,0.038100020574,0.035600019223999996,0.03050001647,0.010200005508000001,0.09650005211,0.020300010961999997,0.07110003839399999,0.015200008207999998,0.010200005508000001,0.017750009584999997,0.026000014039999998,0.046031274856875,0.036850019899,0.05205002810699999,0.090150048681,0.12450006723,2023-11-30
12-01,12,1,0.13460007268399998,0.025400013716,0.035600019223999996,0.027900015065999997,0.043200023328,0.08380004525200001,0.045700024677999995,0.040600021923999995,0.048300026082,0.035600019223999996,0.03050001647,0.010200005508000001,0.09910005351399999,0.020300010961999997,0.07110003839399999,0.020300010961999997,0.010200005508000001,0.020300010961999997,0.027275014728499997,0.048262526061749994,0.038100020574,0.05400002916,0.091450049383,0.13460007268399998,2023-12-01
12-02,12,2,0.13460007268399998,0.025400013716,0.035600019223999996,0.027900015065999997,0.043200023328,0.086400046656,0.045700024677999995,0.040600021923999995,0.050800027432,0.035600019223999996,0.03300001782,0.010200005508000001,0.101600054864,0.020300010961999997,0.07110003839399999,0.020300010961999997,0.010200005508000001,0.020300010961999997,0.027275014728499997,0.048893776402624996,0.038100020574,0.0558750301725,0.09400005076000001,0.13460007268399998,2023-12-02
12-03,12,3,0.13460007268399998,0.025400013716,0.048300026082,0.03300001782,0.043200023328,0.09400005076,0.045700024677999995,0.040600021923999995,0.050800027432,0.035600019223999996,0.03300001782,0.010200005508000001,0.109200058968,0.03050001647,0.07110003839399999,0.020300010961999997,0.010200005508000001,0.022850012338999998,0.0323750174825,0.051593777860624995,0.041900022626,0.0558750301725,0.101600054864,0.13460007268399998,2023-12-03
12-04,12,4,0.13460007268399998,0.025400013716,0.048300026082,0.043200023328,0.043200023328,0.09650005211,0.045700024677999995,0.050800027432,0.053300028782,0.035600019223999996,0.03300001782,0.010200005508000001,0.109200058968,0.050800027432,0.07110003839399999,0.020300010961999997,0.010200005508000001,0.022850012338999998,0.034950018873,0.054450029403,0.04700002538,0.057750031184999995,0.10285005553900001,0.13460007268399998,2023-12-04
